user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
"What is the full title of the RBI KYC master direction updated on August 14, 2025?","['Master Direction - Know Your Customer (KYC) Direction, 2016 ( Updated as on August 14, 2025 )']","The document is titled 'Master Direction - Know Your Customer (KYC) Direction, 2016 (Updated as on August 14, 2025)'.","The full title is 'Master Direction - Know Your Customer (KYC) Direction, 2016 (Updated as on August 14, 2025)'.",1,1,1,0.585478622
"Which chapter in the RBI KYC Direction, 2016 covers Customer Acceptance Policy?",['Contents ... CHAPTER III Customer Acceptance Policy ...'],"Customer Acceptance Policy is covered in Chapter III of the RBI KYC Direction, 2016.",Customer Acceptance Policy is in Chapter III.,1,1,1,0.717963336
"Which major parts are listed under Chapter VI of the RBI KYC Direction, 2016?",['Chapter VI Customer Due Diligence (CDD) Procedure Part I - Customer Due Diligence (CDD) Procedure in case of Individuals Part II - CDD Measures for Sole Proprietary firms Part III - CDD Measures for Legal Entities Part IV - Identification of Beneficial Owner Part V - On-going Due Diligence Part VI - Enhanced and Simplified Due Diligence Procedure'],"Chapter VI covers Customer Due Diligence (CDD) procedure in case of individuals, CDD measures for sole proprietary firms, CDD measures for legal entities, identification of beneficial owner, on-going due diligence, and enhanced and simplified due diligence procedure.","Chapter VI includes CDD for individuals, sole proprietary firms, legal entities, beneficial owner identification, on-going due diligence, and enhanced/simplified due diligence.",1,1,0.166666667,0.674598009
What is the full title of the RBI commercial banks KYC direction issued in 2025?,"['Reserve Bank of India (Commercial Banks - Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)']","The document is titled 'Reserve Bank of India (Commercial Banks - Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)'.","The full title is 'Reserve Bank of India (Commercial Banks - Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)'.",1,1,1,0.565888752
"Which due diligence topics are explicitly listed in Chapter VI of the RBI commercial banks KYC directions, 2025?",['Chapter VI - Customer Due Diligence (CDD) Procedure A. CDD Procedure in case of Individuals B. CDD Measures for Sole Proprietary firms C. CDD Measures for Legal Entities D. Identification of Beneficial Owner E. On-going Due Diligence F. Enhanced and Simplified Due Diligence Procedure F.1 Enhanced Due Diligence F.2 Simplified Due Diligence'],"The RBI commercial banks KYC directions list the following due diligence topics in Chapter VI: CDD procedure in case of individuals, CDD measures for sole proprietary firms, CDD measures for legal entities, identification of beneficial owner, on-going due diligence, enhanced due diligence, and simplified due diligence.","Chapter VI lists individuals, sole proprietary firms, legal entities, beneficial owner identification, on-going due diligence, enhanced due diligence, and simplified due diligence.",1,1,1,0.959956392
What is the full title of the RBI 2025 directions on transfer and distribution of credit risk for NBFCs?,"['Reserve Bank of India (Non-Banking Financial Companies - Transfer and Distribution of Credit Risk) Directions, 2025']","The document is titled 'Reserve Bank of India (Non-Banking Financial Companies - Transfer and Distribution of Credit Risk) Directions, 2025'.","The full title is 'Reserve Bank of India (Non-Banking Financial Companies - Transfer and Distribution of Credit Risk) Directions, 2025'.",1,1,1,0.589433348
What are the major parts covered by the RBI 2025 directions on transfer and distribution of credit risk?,['PART A - TRANSFER OF LOAN EXPOSURES ... PART B: CO-LENDING ARRANGEMENTS ... PART C: REPEAL AND OTHER PROVISIONS'],"The directions cover Part A - Transfer of Loan Exposures, Part B - Co-lending Arrangements, and Part C - Repeal and Other Provisions.","The major parts are Transfer of Loan Exposures, Co-lending Arrangements, and Repeal and Other Provisions.",1,1,1,0.634808023
What is the stated purpose of the RBI 2025 credit risk transfer framework?,['Credit Risk Transfer and Distributions are resorted to by lending institutions for multitude of reasons ranging from liquidity management and rebalancing their exposures or strategic sales ... the Reserve Bank hereby issues a comprehensive and self-contained framework of regulatory guidelines governing different avenues of credit risk transfer and distribution.'],The framework is described as a comprehensive and self-contained framework of regulatory guidelines governing different avenues of credit risk transfer and distribution.,It is a comprehensive and self-contained framework governing credit risk transfer and distribution.,1,1,0.75,0.573661358
"Which sections and chapters are prominently listed in the NBFC-NSI-ND master direction, 2016?",['Index Section I : Introduction Chapter I - Preliminary Chapter II - Definition Chapter III - Registration Section II : Prudential Issues Chapter IV - Prudential Regulations Chapter V - Fair Practice Code ... Section III: Governance Issues Chapter IX - Acquisition/Transfer of Control ... Chapter XII - Reporting Requirements'],"The NBFC-NSI-ND master direction prominently lists Section I: Introduction, Chapter I - Preliminary, Chapter II - Definition, Chapter III - Registration, Section II: Prudential Issues, Chapter IV - Prudential Regulations, Chapter V - Fair Practice Code, Section III: Governance Issues, Chapter IX - Acquisition/Transfer of Control, and Section IV: Miscellaneous Issues including Chapter XII - Reporting Requirements.","The direction lists sections on introduction, definitions, registration, prudential issues, fair practice, governance issues including acquisition/transfer of control, and reporting requirements.",1,1,0.590909091,0.854311447
"According to the NBFC liquidity risk management framework, what must the Board ensure?","['In order to ensure a sound and robust liquidity risk management system, the Board of the NBFC shall frame a liquidity risk management framework which ensures that it maintains sufficient liquidity, including a cushion of unencumbered, high quality liquid assets to withstand a range of stress events ... entity-level liquidity risk tolerance; funding strategies; prudential limits; system for measuring, assessing and reporting/reviewing liquidity; framework for stress testing; liquidity planning under alternative scenarios/formal contingent funding plan.']","The Board must frame a liquidity risk management framework that ensures the NBFC maintains sufficient liquidity, including a cushion of unencumbered, high quality liquid assets to withstand a range of stress events, and that sets out liquidity risk tolerance, funding strategies, prudential limits, measurement, reporting, stress testing, and contingency funding planning.","The Board must ensure a documented liquidity risk management framework with sufficient liquidity and controls such as risk tolerance, funding strategy, prudential limits, reporting, stress testing, and contingency planning.",1,1,0.3,0.882397121
